comuna;Cente2010;Cente2022;VaronesCente2010;VaronesCente2022;MujCente2010;MujCente2022;IndCente2010;IndCente2022;MujIndCente2010;MujIndCente2022;Indicemasculinidad2010;Indicemasculinidad2022;VariacionCentTotal;VariacionCentMujeres;VariacionIndicemasculinidad;
1;41;51;10;12;31;39;19,9;23,1;28,8;33,6;32,3;30,8;16,1;16,9;-4,6;
2;73;82;14;18;59;64;46,2;51,1;65,6;70,9;23,7;28,1;10,6;8,0;18,5;
3;52;38;11;5;41;33;27,7;19,6;40,2;31,6;26,8;15,2;-29,2;-21,4;-43,5;
4;28;33;5;9;23;24;12,8;13,8;20,0;20,0;21,7;37,5;7,8;0,2;72,5;
5;44;46;8;7;36;39;24,6;23,9;36,7;37,1;22,2;17,9;-2,8;1,3;-19,2;
6;43;55;4;9;39;46;25,6;30,0;40,1;41,5;10,3;19,6;17,2;3,5;90,8;
7;50;42;6;6;44;36;22,7;17,8;37,3;31,6;13,6;16,7;-21,6;-15,2;22,2;
8;13;26;1;8;12;18;8,0;12,7;12,3;16,8;8,3;44,4;58,8;36,8;433,3;
9;28;29;4;0,1;24;29;16,4;15,1;28,0;32,8;16,7;0,3;-7,9;17,0;-97,9;
10;39;35;5;3;33;32;23,5;17,3;37,1;34,9;15,2;9,4;-26,4;-5,7;-38,1;
11;41;50;3;11;38;39;21,6;25,0;37,5;36,0;7,9;28,2;15,7;-3,9;257,3;
12;41;62;5;12;36;50;20,5;30,7;33,5;39,7;13,9;24,0;49,8;18,5;72,8;
13;74;83;10;16;64;67;37,0;35,3;50,2;46,6;15,6;23,9;-4,6;-7,2;52,8;
14;59;66;12;9;47;57;26,1;25,2;37,5;41,7;25,5;15,8;-3,4;11,3;-38,2;
15;36;40;7;4;29;36;15,9;17,3;29,6;34,4;24,1;11,1;8,8;16,3;-54,0;
